0 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
1 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
2 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
3 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
4 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
5 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
6 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
7 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
8 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
9 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
10 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
11 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
12 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
13 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
14 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
15 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
16 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
17 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
18 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
19 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
20 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
21 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
22 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
23 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
24 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
25 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
26 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
27 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
28 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
29 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
30 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
31 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
32 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
33 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
34 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
35 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
36 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
37 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
38 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
39 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
40 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
41 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
42 --> ['memset', 'fgets', 'strlen', 'puts', 'exit']
